Data set,All Authors affiliated with Dartmouth College,,,,,,,,,,
Entity,Dartmouth College,,,,,,,,,,
Year range,2013 to >2023,,,,,,,,,,
Types of publications included,all publication types,,,,,,,,,,
Self-citations,included,,,,,,,,,,
,,,,,,,,,,,
Data source,Scopus,,,,,,,,,,
Date last updated,12-Jun-24,,,,,,,,,,
,,,,,,,,,,,
Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Output in Top 10% Citation Percentiles (field-weighted),Oldest publication (since 1996),Scopus author ID,Scopus author profile,Primary author affiliation
"Davis, Scott C.",101,2024,1589,15.7,0.82,33,26,2005,35380882200,https://www.scopus.com/authid/detail.url?authorId=35380882200,Dartmouth College
"Batsis, John A.",99,2022,3863,39,1.66,41,20,2009,8668882100,https://www.scopus.com/authid/detail.url?authorId=8668882100,University of North Carolina at Chapel Hill
"Davies, Louise",99,2024,5757,58.2,4.71,42,44,2006,13406943900,https://www.scopus.com/authid/detail.url?authorId=13406943900,Department of Veterans Affairs
"Brunette, Mary F.",99,2024,3125,31.6,1.61,42,26,1997,7006002809,https://www.scopus.com/authid/detail.url?authorId=7006002809,Dartmouth College
"Sullivan, Charles R.",98,2024,2165,22.1,3.44,45,88,1997,7202242792,https://www.scopus.com/authid/detail.url?authorId=7202242792,Dartmouth College
"Budney, Alan Jeffrey",96,2024,2399,25,2.14,49,25,2012,35561868000,https://www.scopus.com/authid/detail.url?authorId=35561868000,Dartmouth College
"Colla, Carrie Hoverman",96,2024,3234,33.7,2.42,31,34,2010,35069212700,https://www.scopus.com/authid/detail.url?authorId=35069212700,Dartmouth College
"Swartz, Harold M.",95,2024,1201,12.6,1.33,50,39,1996,7102010298,https://www.scopus.com/authid/detail.url?authorId=7102010298,Dartmouth College
"Campbell, Andrew Thomas",94,2024,4319,45.9,3.4,60,66,2005,7403504710,https://www.scopus.com/authid/detail.url?authorId=7403504710,Dartmouth College
"Durand, Marie Anne",94,2024,1989,21.2,1.5,28,16,2013,23481729100,https://www.scopus.com/authid/detail.url?authorId=23481729100,Dartmouth College
"Gilbert-Diamond, Diane",90,2024,1539,17.1,1.38,28,18,2010,34969411400,https://www.scopus.com/authid/detail.url?authorId=34969411400,Dartmouth College
"Fiering, Steven N.",90,2024,3337,37.1,1.64,49,32,1998,7004307970,https://www.scopus.com/authid/detail.url?authorId=7004307970,Dartmouth-Hitchcock Clinic
"Hoopes, Paul Jack",89,2023,1633,18.3,1.65,45,43,1996,7005967291,https://www.scopus.com/authid/detail.url?authorId=7005967291,Dartmouth College
"Kotz, David F.",89,2024,1306,14.7,1.58,47,81,1996,7006805893,https://www.scopus.com/authid/detail.url?authorId=7006805893,Dartmouth College
"Drake, Robert E.",88,2024,2562,29.1,1.94,96,86,1996,35375185400,https://www.scopus.com/authid/detail.url?authorId=35375185400,Columbia University
"Van Citters, Douglas W.",87,2024,775,8.9,0.87,22,11,2003,6506204105,https://www.scopus.com/authid/detail.url?authorId=6506204105,Dartmouth College
"Linos, Konstantinos D.",87,2023,708,8.1,1.02,16,8,2015,23019257600,https://www.scopus.com/authid/detail.url?authorId=23019257600,Memorial Sloan-Kettering Cancer Center
"Tepper, Stewart J.",87,2023,3027,34.8,2.29,31,28,2016,55905592700,https://www.scopus.com/authid/detail.url?authorId=55905592700,Unknown affiliation
"Fortuna, Karen L.",86,2024,1200,14,1.12,19,12,2017,57190063485,https://www.scopus.com/authid/detail.url?authorId=57190063485,Dartmouth College
"Gunn, Jason R.",86,2024,1353,15.7,1.06,28,13,1997,7201609138,https://www.scopus.com/authid/detail.url?authorId=7201609138,Dartmouth College
"Skinner, Jonathan S.",85,2024,2341,27.5,2.22,62,74,1996,7401822050,https://www.scopus.com/authid/detail.url?authorId=7401822050,Dartmouth College
"Buckey, Jay C.",85,2024,946,11.1,0.97,25,6,2001,7003913960,https://www.scopus.com/authid/detail.url?authorId=7003913960,Dartmouth College
"Hogan, Deborah A.",84,2024,3060,36.4,1.7,46,25,2004,7102613057,https://www.scopus.com/authid/detail.url?authorId=7102613057,Dartmouth College
"Doherty, Jennifer Anne",83,2021,5865,70.7,2.7,60,28,2012,57203056959,https://www.scopus.com/authid/detail.url?authorId=57203056959,University of Utah
"Marsit, Carmen J.",83,2020,5156,62.1,2.61,75,42,2011,6602980785,https://www.scopus.com/authid/detail.url?authorId=6602980785,Emory University
"Jiang, Shudong S.",82,2024,916,11.2,0.9,37,34,2001,7404452846,https://www.scopus.com/authid/detail.url?authorId=7404452846,Dartmouth College
