,uid,title,authors,researcherIds,pubyear,source_title,volume,page_start,page_end,page_count,doi,issn,eissn,isbn,citation_counts,author_keywords,record_links,citing_links,reference_links,related_links
10,WOS:000165903400002,Reviewing the contexts of headwater control,"Krecek, J; Haigh, MJ",DAE-0554-2022; CSY-1995-2022,2000,ENVIRONMENTAL RECONSTRUCTION IN HEADWATER AREAS,68,9,24,6,,,,0-7923-6295-0,6,headwaters; watershed concept; humanised landscape; resource management; nature protection; environmentalism; environmental ethics,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000165903400002&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000165903400002&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000165903400002&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000165903400002&DestLinkType=RelatedRecords&DestApp=WOS_CPL
11,WOS:000086068400012,Humanising the technology landscape through a collaborative pedagogy,"Hardwick, SW",CTH-2612-2022,2000,JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION,24,123,129,7,10.1080/03098260085207,0309-8265,,,13,collaboration; distance education; computer-based learning,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000086068400012&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000086068400012&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000086068400012&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000086068400012&DestLinkType=RelatedRecords&DestApp=WOS_CPL
12,WOS:000086006700005,Path analysis of spatial predictors of front-yard landscape in an anthropogenic environment,"Zmyslony, J; Gagnon, D",GKY-9794-2022; IDV-3406-2023,2000,LANDSCAPE ECOLOGY,15,357,371,15,10.1023/A:1008160131014,0921-2973,,,33,landscape replication; mantel tests; mimicry; neighbour interactions; residential landscape; street section; urban vegetation,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000086006700005&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000086006700005&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000086006700005&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000086006700005&DestLinkType=RelatedRecords&DestApp=WOS_CPL
13,WOS:000165460300002,Showing and telling: Australian land rights and material moralities,"Strang, V",GFL-0945-2022,2000,JOURNAL OF MATERIAL CULTURE,5,275,299,25,10.1177/135918350000500302,1359-1835,1460-3586,,4,australia; cultural mapping; land rights; landscape; performance; representation,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000165460300002&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000165460300002&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000165460300002&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000165460300002&DestLinkType=RelatedRecords&DestApp=WOS_CPL
14,WOS:000090103900001,"Humanizing Landscapes: Geography, Culture and the Magoon Collection","Ledes, AR",FHA-0366-2022,2000,MAGAZINE ANTIQUES,158,592,592,1,,0161-9284,,,0,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000090103900001&DestLinkType=FullRecord&DestApp=WOS_CPL,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000090103900001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000090103900001&DestLinkType=RelatedRecords&DestApp=WOS_CPL
15,WOS:000169377400004,Aboriginal overkill overstated - Errors in Charles!Kay's hypothesis,"Yochim, MJ",EGW-1242-2022,2001,HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE,12,141,167,27,10.1007/s12110-001-1021-y,1045-6767,1936-4776,,5,aboriginal overkill; anthropogenic effects; elk (cervus elaphus); humanized landscape; natural regulation; pristine landscape; yellowstone national park (wyoming),https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000169377400004&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000169377400004&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000169377400004&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000169377400004&DestLinkType=RelatedRecords&DestApp=WOS_CPL
16,WOS:000169881400010,Does availability of anthropogenic food enhance densities of omnivorous mammals? An example with coyotes in southern California,"Fedriani, JM; Fuller, TK; Sauvajot, RM",R-1328-2018; DYB-7888-2022; FVT-1060-2022,2001,ECOGRAPHY,24,325,331,7,10.1034/j.1600-0587.2001.240310.x,0906-7590,,,228,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000169881400010&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000169881400010&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000169881400010&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000169881400010&DestLinkType=RelatedRecords&DestApp=WOS_CPL
17,WOS:000180642000010,Nineteenth-century travelers and their discovery (tinged with Romanticism) of the Spanish landscape,"Ortega Cantero, N",FOZ-1536-2022,2002,REVISTA DE DIALECTOLOGIA Y TRADICIONES POPULARES,57,225,244,20,10.3989/rdtp.2002.v57.i2.181,0034-7981,,,3,romanticism; geography; travellers; accounts of travels; landscape; town,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000180642000010&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000180642000010&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000180642000010&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000180642000010&DestLinkType=RelatedRecords&DestApp=WOS_CPL
18,WOS:000186870800010,Hemerobic chart of Switzerland (degrees of artificialization or naturalness); evaluation of the impact of human activities,"Bèguin, C; Von Felten, A",EMD-7600-2022; EED-6672-2022,2003,PHYTOCOENOLOGIA,33,701,714,14,10.1127/0340-269X/2003/0033-0701,0340-269X,,,0,symphytocoenology; landscape analysis; methodology; cartography; anthropozoogen action; humanized nature,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000186870800010&DestLinkType=FullRecord&DestApp=WOS_CPL,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000186870800010&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000186870800010&DestLinkType=RelatedRecords&DestApp=WOS_CPL
19,WOS:000231927600005,Australian backyard gardens and the journey of migration,"Head, L; Muir, P; Hampel, E",GBD-3517-2022; DIH-0022-2022; CTN-5263-2022,2004,GEOGRAPHICAL REVIEW,94,326,347,22,10.1111/j.1931-0846.2004.tb00176.x,0016-7428,,,80,australia; backyard gardens; dwelling; subsistence production; sydney,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000231927600005&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000231927600005&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000231927600005&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000231927600005&DestLinkType=RelatedRecords&DestApp=WOS_CPL
